NOTES:,,,,,
CV_UN,oil_or_gas_type,well_type_number,usgs_province_num,basin_usgs,ch4_emission_factor
CONVENTIONAL OIL,CONVENTIONAL OIL,1,1,NORTHERN ALASKA,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,2,CENTRAL ALASKA,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,3,SOUTHERN ALASKA,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,4,WESTERN OREGON-WASHINGTON,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,5,EASTERN OREGON - WASHINGTON,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,6,KLAMATH - SIERRA NEVADA,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,7,NORTHERN COASTAL,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,8,SONOMA - LIVERMORE BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,9,SACRAMENTO BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,10,SAN JOAQUIN BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,11,CENTRAL COASTAL,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,12,SANTA MARIA BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,13,VENTURA BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,14,LOS ANGELES BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,15,SAN DIEGO - OCEANSIDE,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,16,SALTON TROUGH,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,17,IDAHO-SNAKE RIVER DOWNWARP,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,18,WESTERN GREAT BASIN,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,19,EASTERN GREAT BASIN,9.27E-06
CONVENTIONAL OIL,CONVENTIONAL OIL,1,20,UINTA-PICEANCE BASIN,0.0000136
CONVENTIONAL OIL,CONVENTIONAL OIL,1,21,PARADOX BASIN,9.27E-06
CONVENTIONAL OIL,CONVENTIONAL OIL,1,22,SAN JUAN BASIN,0.0000233
CONVENTIONAL OIL,CONVENTIONAL OIL,1,23,ALBUQUERQUE - SANTA FE RIFT,0.0159152
CONVENTIONAL OIL,CONVENTIONAL OIL,1,24,NORTHERN ARIZONA,9.27E-06
