FILE NAME:      KCAPFAC

DATE MODIFIED:  July 22, 2013

CONTACT:        Kevin Jarzomski
                NEMS Commercial Buildings Analyst
                Kevin.Jarzomski@eia.gov
                (202)586-3208

USED BY:        Technology Choice subroutine of the National Energy Modeling System
                (NEMS) Commercial Demand Module (CDM)

DEFINITION:     Capacity factor

                Equipment capacity factor to meet service s in Census Division r
		in building type b.  The capacity factor is the ratio of actual
		annual equipment output to output if equipment were run 100% of
                the time at full capacity.

UNITS:          unitless

DIMENSION:      Census division, building type, end-use service

SPECIAL CONSTRAINTS:    None

ORGANIZATION OF DATA:

                Data starts on row 101 of this file as per CDM convention.

                Each block of 11 lines corresponds to a Census Division, in the
                following order:  New England, Middle Atlantic, East North Central, West
                North Central, South Atlantic, East South Central, West South Central,
                Mountain, and Pacific.

                Each row corresponds to a building type, in the following order:
                Assembly, Education, Food sales, Food service, Health, Lodging, Large
                Office, Small Office, Merc/Service, Warehouse, and Other.

                Each column represents a Service, in the following order:  Space
                Heating, Space Cooling, Water Heating, Ventilation, Cooking, Lighting,
                Refrigeration, Office Equipment - PCs, Office Equipment - NonPCs, Other.

                Note that Office Equipment - PCs, Office Equipment - NonPCs, and Other
                capacity factors are not currently utilized by NEMS (and so are defaulted to 1)

SOURCES:

                "Commercial Building Capacity Factors for Use in the Commercial Demand Module,"
                  developed by Science Applications International Corporation (SAIC) for the
                  U.S. Energy Information Administration, June 2013.


















































0.0352	0.0821	0.1765	0.3866	0.0462	0.3582	0.1558	1	1	1	NE	assemb
0.0599	0.0823	0.1262	0.4796	0.0462	0.4358	0.1558	1	1	1	NE	educ
0.1318	0.0163	0.3055	0.7946	0.5416	0.4241	0.2335	1	1	1	NE	fd sal
0.0967	0.1128	0.3548	0.8337	0.1521	0.7371	0.4264	1	1	1	NE	fd svc
0.1867	0.2363	0.3643	0.8014	0.152	0.488	0.2889	1	1	1	NE	health
0.1023	0.1349	0.2509	0.4837	0.1885	0.3774	0.3122	1	1	1	NE	lodge
0.0352	0.0821	0.1765	0.3866	0.0992	0.3582	0.2911	1	1	1	NE	lg ofc
0.0785	0.0674	0.242	0.6227	0.0727	0.3261	0.2234	1	1	1	NE	sm ofc
0.0843	0.0657	0.242	0.6472	0.1521	0.4157	0.4264	1	1	1	NE	merc
0.0482	0.0461	0.242	0.2568	0.0462	0.3145	0.9558	1	1	1	NE	warehs
0.0352	0.0821	0.1765	0.3866	0.0992	0.3582	0.2911	1	1	1	NE	other
											
0.0277	0.0994	0.1727	0.3795	0.0462	0.3582	0.1602	1	1	1	MA	assemb
0.047	0.0967	0.1233	0.4613	0.0462	0.4358	0.1602	1	1	1	MA	educ
0.1139	0.0242	0.2951	0.7675	0.5416	0.4241	0.2371	1	1	1	MA	fd sal
0.0768	0.1402	0.3497	0.8334	0.1521	0.7371	0.4297	1	1	1	MA	fd svc
0.1762	0.2709	0.3588	0.8002	0.152	0.488	0.2928	1	1	1	MA	health
0.0888	0.1697	0.2445	0.4752	0.1885	0.3774	0.3163	1	1	1	MA	lodge
0.0277	0.0994	0.1727	0.3795	0.0992	0.3582	0.295	1	1	1	MA	lg ofc
0.056	0.0892	0.2512	0.5974	0.0727	0.3261	0.2276	1	1	1	MA	sm ofc
0.0633	0.0908	0.2512	0.6292	0.1521	0.4157	0.4297	1	1	1	MA	merc
0.0324	0.0758	0.2512	0.2493	0.0462	0.3145	0.956	1	1	1	MA	warehs
0.0277	0.0994	0.1727	0.3795	0.0992	0.3582	0.295	1	1	1	MA	other
											
0.0194	0.1223	0.1724	0.376	0.0462	0.3582	0.1657	1	1	1	ENC	assemb
0.0316	0.1128	0.1198	0.4414	0.0462	0.4358	0.1657	1	1	1	ENC	educ
0.0926	0.0353	0.2688	0.7326	0.5416	0.4241	0.2416	1	1	1	ENC	fd sal
0.0508	0.1821	0.3442	0.8333	0.1521	0.7371	0.4338	1	1	1	ENC	fd svc
0.1607	0.3174	0.3529	0.7981	0.152	0.488	0.2981	1	1	1	ENC	health
0.0707	0.2126	0.2372	0.4631	0.1885	0.3774	0.3214	1	1	1	ENC	lodge
0.0194	0.1223	0.1724	0.376	0.0992	0.3582	0.2998	1	1	1	ENC	lg ofc
0.0319	0.1184	0.2283	0.5699	0.0727	0.3261	0.2327	1	1	1	ENC	sm ofc
0.039	0.1249	0.2283	0.6137	0.1521	0.4157	0.4338	1	1	1	ENC	merc
