Region,Season,Step,Quantity,Price
1,1,1,0.000001,9999.9
1,1,2,0.000001,9999.9
1,1,3,0.000001,9999.9
1,2,1,0.000001,9999.9
1,2,2,0.000001,9999.9
1,2,3,0.000001,9999.9
1,3,1,0.000001,9999.9
1,3,2,0.000001,9999.9
1,3,3,0.000001,9999.9
2,1,1,0.000001,9999.9
2,1,2,0.000001,9999.9
2,1,3,0.000001,9999.9
2,2,1,0.000001,9999.9
2,2,2,0.000001,9999.9
2,2,3,0.000001,9999.9
2,3,1,0.000001,9999.9
2,3,2,0.000001,9999.9
2,3,3,0.000001,9999.9
3,1,1,0.000001,9999.9
3,1,2,0.000001,9999.9
3,1,3,0.000001,9999.9
3,2,1,0.000001,9999.9
3,2,2,0.000001,9999.9
3,2,3,0.000001,9999.9
3,3,1,0.000001,9999.9
3,3,2,0.000001,9999.9
3,3,3,0.000001,9999.9
4,1,1,0.000001,9999.9
4,1,2,0.000001,9999.9
4,1,3,0.000001,9999.9
4,2,1,0.000001,9999.9
4,2,2,0.000001,9999.9
4,2,3,0.000001,9999.9
4,3,1,0.000001,9999.9
4,3,2,0.000001,9999.9
4,3,3,0.000001,9999.9
5,1,1,0.000001,9999.9
5,1,2,0.000001,9999.9
5,1,3,0.000001,9999.9
5,2,1,0.000001,9999.9
5,2,2,0.000001,9999.9
5,2,3,0.000001,9999.9
5,3,1,0.000001,9999.9
5,3,2,0.000001,9999.9
5,3,3,0.000001,9999.9
6,1,1,0.000001,9999.9
6,1,2,0.000001,9999.9
6,1,3,0.000001,9999.9
6,2,1,0.000001,9999.9
6,2,2,0.000001,9999.9
6,2,3,0.000001,9999.9
6,3,1,0.000001,9999.9
6,3,2,0.000001,9999.9
6,3,3,0.000001,9999.9
7,1,1,0.000001,9999.9
7,1,2,0.000001,9999.9
7,1,3,0.000001,9999.9
7,2,1,0.000001,9999.9
7,2,2,0.000001,9999.9
7,2,3,0.000001,9999.9
7,3,1,0.000001,9999.9
7,3,2,0.000001,9999.9
7,3,3,0.000001,9999.9
8,1,1,0.000001,9999.9
8,1,2,0.000001,9999.9
8,1,3,0.000001,9999.9
8,2,1,0.000001,9999.9
8,2,2,0.000001,9999.9
8,2,3,0.000001,9999.9
8,3,1,0.000001,9999.9
8,3,2,0.000001,9999.9
8,3,3,0.000001,9999.9
9,1,1,0.000001,9999.9
9,1,2,0.000001,9999.9
9,1,3,0.000001,9999.9
9,2,1,0.000001,9999.9
9,2,2,0.000001,9999.9
9,2,3,0.000001,9999.9
9,3,1,0.000001,9999.9
9,3,2,0.000001,9999.9
9,3,3,0.000001,9999.9
