,FSC,,,,,,,,,,,,,,,
evaluation_unit,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
WGOM0002,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
WGOMDG02,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
WGOM0204,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
WGOM0408,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
WGOM0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
WGOM1624,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
WGOM2400,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
CGOM0002,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
CGOMDG02,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
CGOM0204,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
CGOM0408,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
CGOM0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
CGOM1624,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
CGOM2400,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
EGOM0002,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
EGOM0204,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
EGOM0408,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4
EGOM0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
EGOM1624,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
EGOM2400,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
EGOML181,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
NATL0002,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
NATL0208,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
NATL0800,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
MATL0002,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
MATL0208,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
MATL0800,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
SATL0002,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
SATL0208,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
SATL0800,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
FLST0002,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
FLST0208,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
FLST0800,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
PNW0002,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
PNW0208,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4
NCA0002,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
NCA0208,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4
NCA0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
NCA1624,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
CCA0002,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
CCA0208,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4
CCA0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
SCA0002,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4
SCA0208,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4
SCA0816,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
SCA1624,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4
