Notes,,,,,,,,,,,
coef_name,coef,std err,t,p_val,low_con_int(0.025),high_con_int(0.975),cost_type,base_year,resource_type,usgs_province_num,usgs_province_num_merge
Intercept,13.3482,0.073,183.273,0,13.205,13.491,capex_per_well_1987,2017,gas,,n
Appalachian Basin (Marcellus),0.4419,0.044,10.112,0,0.356,0.528,capex_per_well_1987,2017,gas,50671,671
Appalachian Basin (Other),0.1877,0.124,1.518,0.129,-0.055,0.43,capex_per_well_1987,2017,gas,5067,67
Appalachian Basin (Utica),0.4744,0.043,11.096,0,0.391,0.558,capex_per_well_1987,2017,gas,50672,672
Arkoma Basin,0.1862,0.045,4.094,0,0.097,0.275,capex_per_well_1987,2017,gas,5062,62
Bend Arch-Ft. Worth Basin,-0.5502,0.098,-5.635,0,-0.742,-0.359,capex_per_well_1987,2017,gas,5045,45
Cherokee Platform,-0.1014,0.16,-0.632,0.527,-0.416,0.213,capex_per_well_1987,2017,gas,5060,60
Denver Basin,-0.1367,0.233,-0.588,0.557,-0.593,0.319,capex_per_well_1987,2017,gas,5039,39
East Texas Basin/LA-MS Salt Basins (Haynesville),0.1726,0.097,1.772,0.076,-0.018,0.364,capex_per_well_1987,2017,gas,50471,471
East Texas Basin/LA-MS Salt Basins (Other),-0.2397,0.094,-2.549,0.011,-0.424,-0.055,capex_per_well_1987,2017,gas,5047,47
Illinois Basin,-0.8202,0.105,-7.794,0,-1.027,-0.614,capex_per_well_1987,2017,gas,5064,64
Michigan Basin,0.1077,0.086,1.251,0.211,-0.061,0.277,capex_per_well_1987,2017,gas,5063,63
Permian Basin,-0.2317,0.103,-2.242,0.025,-0.434,-0.029,capex_per_well_1987,2017,gas,5044,44
Powder River Basin,-1.26E-12,4.08E-13,-3.088,0.002,-2.06E-12,-4.59E-13,capex_per_well_1987,2017,gas,5033,33
San Juan Basin,-0.5169,0.145,-3.561,0,-0.802,-0.232,capex_per_well_1987,2017,gas,5022,22
Southwestern Wyoming,0.3679,0.048,7.711,0,0.274,0.461,capex_per_well_1987,2017,gas,5037,37
Uinta-Piceance Basin,0.1044,0.219,0.477,0.634,-0.325,0.534,capex_per_well_1987,2017,gas,5020,20
Williston Basin,0.1864,0.078,2.391,0.017,0.034,0.339,capex_per_well_1987,2017,gas,5031,31
Wind River Basin,-0.4991,0.067,-7.483,0,-0.63,-0.368,capex_per_well_1987,2017,gas,5035,35
CO,0.1767,0.218,0.811,0.417,-0.25,0.604,capex_per_well_1987,2017,gas,,n
IL,-0.2689,0.162,-1.658,0.098,-0.587,0.049,capex_per_well_1987,2017,gas,,n
IN,-0.307,0.123,-2.486,0.013,-0.549,-0.065,capex_per_well_1987,2017,gas,,n
KY,-0.2689,0.099,-2.729,0.006,-0.462,-0.076,capex_per_well_1987,2017,gas,,n
